#TYPE Selected.System.Diagnostics.Process
"ProcessName","Path","Id"
"AdminService","C:\WINDOWS\System32\drivers\AdminService.exe","3740"
"ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe","10924"
"audiodg","C:\WINDOWS\system32\AUDIODG.EXE","21856"
"backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","20692"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","2556"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","3476"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","4344"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","4880"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","6876"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","7220"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","9572"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","12184"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","12460"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","12592"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","13824"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","14092"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","14816"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","14848"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","16448"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","16604"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","17340"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","17888"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","18204"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","18732"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","18988"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","19336"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe","20672"
"CompPkgSrv","C:\Windows\System32\CompPkgSrv.exe","17296"
"conhost","C:\WINDOWS\system32\conhost.exe","5664"
"csrss",,"720"
"csrss",,"812"
"ctfmon","C:\WINDOWS\system32\ctfmon.exe","6680"
"DDVCollectorSvcApi","C:\Program Files\Dell\DellDataVault\DDVCollectorSvcApi.exe","10040"
"DDVDataCollector","C:\Program Files\Dell\DellDataVault\DDVDataCollector.exe","12668"
"DDVRulesProcessor","C:\Program Files\Dell\DellDataVault\DDVRulesProcessor.exe","7332"
"Dell.D3.WinSvc","C:\Program Files (x86)\Dell Digital Delivery Services\Dell.D3.WinSvc.exe","12228"
"DellSupportAssistRemedationService","C:\Program Files\Dell\SARemediation\agent\DellSupportAssistRemedationService.exe","10436"
"Discord","C:\Users\meckh\AppData\Local\Discord\app-0.0.309\Discord.exe","1472"
"Discord","C:\Users\meckh\AppData\Local\Discord\app-0.0.309\Discord.exe","2936"
"Discord","C:\Users\meckh\AppData\Local\Discord\app-0.0.309\Discord.exe","8788"
"Discord","C:\Users\meckh\AppData\Local\Discord\app-0.0.309\Discord.exe","9368"
"Discord","C:\Users\meckh\AppData\Local\Discord\app-0.0.309\Discord.exe","10356"
"Discord","C:\Users\meckh\AppData\Local\Discord\app-0.0.309\Discord.exe","11224"
"dllhost","C:\WINDOWS\system32\DllHost.exe","8896"
"dllhost","C:\WINDOWS\system32\DllHost.exe","9932"
"dllhost","C:\WINDOWS\system32\DllHost.exe","15872"
"dptf_helper","C:\WINDOWS\system32\Intel\DPTF\dptf_helper.exe","88"
"DSAPI","C:\Program Files\Dell\SupportAssistAgent\PCDr\SupportAssist\6.0.7240.285\DSAPI.exe","10832"
"dwm","C:\WINDOWS\system32\dwm.exe","1336"
"esif_uf","C:\WINDOWS\System32\Intel\DPTF\esif_uf.exe","3864"
"explorer","C:\WINDOWS\Explorer.EXE","3276"
"fontdrvhost","C:\WINDOWS\system32\fontdrvhost.exe","84"
"fontdrvhost","C:\WINDOWS\system32\fontdrvhost.exe","612"
"IAStorDataMgrSvc","C:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorDataMgrSvc.exe","12564"
"IAStorIcon","C:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorIcon.exe","1412"
"Idle",,"0"
"igfxCUIService","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_5dc194ddcb559d66\igfxCUIService.exe","2088"
"igfxEM","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_5dc194ddcb559d66\igfxEM.exe","5780"
"IntelCpHDCPSvc","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_5dc194ddcb559d66\IntelCpHDCPSvc.exe","1536"
"IntelCpHeciSvc","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_5dc194ddcb559d66\IntelCpHeciSvc.exe","2228"
"jhi_service","C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_ffc75848a6342fdf\jhi_service.exe","4812"
"jusched","C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe","11208"
"LMS","C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\LMS.exe","8692"
"LockApp","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","8128"
"lsass","C:\WINDOWS\system32\lsass.exe","968"
"MBAMService",,"4328"
"mbamtray","C:\Program Files\Malwarebytes\Anti-Malware\mbamtray.exe","3728"
"Memory Compression",,"2052"
"Microsoft.Photos","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2020.20090.1002.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","6404"
"MoUsoCoreWorker","C:\Windows\System32\mousocoreworker.exe","2340"
"MsMpEng",,"14036"
"NisSrv",,"11916"
"OneDrive","C:\Users\meckh\AppData\Local\Microsoft\OneDrive\OneDrive.exe","10452"
"powershell_ise","C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe","19800"
"PresentationFontCache","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","1600"
"RAPS","C:\Program Files\Rivet Networks\SmartByte\RAPS.exe","5644"
"RAPSService","C:\Program Files\Rivet Networks\SmartByte\RAPSService.exe","4948"
"RAVBg64","C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe","1864"
"RAVBg64","C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe","10312"
"Registry",,"124"
"RstMwService","C:\WINDOWS\System32\DriverStore\FileRepository\iastorac.inf_amd64_f881c4be237ce854\RstMwService.exe","3928"
"RtkAudioService64","C:\Program Files\Realtek\Audio\HDA\RtkAudioService64.exe","2704"
"RtkNGUI64","C:\Program Files\Realtek\Audio\HDA\RtkNGUI64.exe","2956"
"rundll32","C:\WINDOWS\system32\rundll32.exe","16272"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5392"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5464"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","6988"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","8004"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","8284"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9352"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","13804"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","18452"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","20308"
"SearchApp","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","3368"
"SearchIndexer","C:\WINDOWS\system32\SearchIndexer.exe","8184"
"SecurityHealthService",,"8624"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","8524"
"services",,"948"
"ServiceShell","C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe","11552"
"SettingSyncHost","C:\WINDOWS\system32\SettingSyncHost.exe","7476"
"SgrmBroker",,"12144"
"ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","5940"
"sihost","C:\WINDOWS\system32\sihost.exe","1020"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe","10600"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe","10752"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe","10960"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe","11028"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe","11060"
"slack","C:\Users\meckh\AppData\Local\slack\app-4.13.0\slack.exe","11992"
"SmartByteAnalyticsService","C:\Program Files\Rivet Networks\SmartByte\SmartByteAnalyticsService.exe","3912"
"SmartByteNetworkService","C:\Program Files\Rivet Networks\SmartByte\SmartByteNetworkService.exe","3872"
"smss",,"524"
"spoolsv","C:\WINDOWS\System32\spoolsv.exe","3404"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe","1436"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe","1956"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe","7324"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe","9596"
"Spotify","C:\Users\meckh\AppData\Roaming\Spotify\Spotify.exe","10724"
"sqlwriter","C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe","3888"
"StartMenuExperienceHost","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","7680"
"steam","C:\Program Files (x86)\Steam\steam.exe","10500"
"SteamService","C:\Program Files (x86)\Common Files\Steam\SteamService.exe","9524"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","6836"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","7804"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","10792"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","11492"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","13016"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","13048"
