"Name","Path"
"AdminService",
"ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe"
"audiodg",
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
"brave","C:\Program Files (x86)\BraveSoftware\Brave-Browser\Application\brave.exe"
