"Name","PathName","State"
"AJRouter","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Stopped"
"ALG","C:\WINDOWS\System32\alg.exe","Stopped"
"AppIDSvc","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Stopped"
"Appinfo","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Running"
"AppReadiness","C:\WINDOWS\System32\svchost.exe -k AppReadiness -p","Stopped"
"AppXSvc","C:\WINDOWS\system32\svchost.exe -k wsappx -p","Running"
"aspnet_state","C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe","Stopped"
"AtherosSvc","C:\WINDOWS\System32\drivers\AdminService.exe","Running"
"AudioEndpointBuilder","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Running"
"Audiosrv","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Running"
"autotimesvc","C:\WINDOWS\system32\svchost.exe -k autoTimeSvc","Stopped"
"AxInstSV","C:\WINDOWS\system32\svchost.exe -k AxInstSVGroup","Stopped"
"BDESVC","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Stopped"
"BFE","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","Running"
"BITS","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Running"
"brave","""C:\Program Files (x86)\BraveSoftware\Update\BraveUpdate.exe"" /svc","Stopped"
"bravem","""C:\Program Files (x86)\BraveSoftware\Update\BraveUpdate.exe"" /medsvc","Stopped"
"BrokerInfrastructure","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Running"
"BTAGService","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted","Stopped"
"BthAvctpSvc","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Running"
"bthserv","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Stopped"
"camsvc","C:\WINDOWS\system32\svchost.exe -k appmodel -p","Running"
"CDPSvc","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Running"
"CertPropSvc","C:\WINDOWS\system32\svchost.exe -k netsvcs","Running"
"ClipSVC","C:\WINDOWS\System32\svchost.exe -k wsappx -p","Stopped"
"COMSysApp","C:\WINDOWS\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","Stopped"
"CoreMessagingRegistrar","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p","Running"
"cphs","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_5dc194ddcb559d66\IntelCpHeciSvc.exe","Running"
"cplspcon","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_5dc194ddcb559d66\IntelCpHDCPSvc.exe","Running"
"CryptSvc","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","Running"
"DcomLaunch","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Running"
"dcpm-notify","""C:\Program Files\Dell\CommandPowerManager\NotifyService.exe""","Stopped"
"DDVCollectorSvcApi","""C:\Program Files\Dell\DellDataVault\DDVCollectorSvcApi.exe""","Running"
"DDVDataCollector","""C:\Program Files\Dell\DellDataVault\DDVDataCollector.exe""","Running"
"DDVRulesProcessor","""C:\Program Files\Dell\DellDataVault\DDVRulesProcessor.exe""","Running"
"defragsvc","C:\WINDOWS\system32\svchost.exe -k defragsvc","Stopped"
"Dell Digital Delivery Services","""C:\Program Files (x86)\Dell Digital Delivery Services\Dell.D3.WinSvc.exe""","Running"
"Dell Hardware Support","""C:\Program Files\Dell\SupportAssistAgent\PCDr\SupportAssist\6.0.7240.285\DSAPI.exe""","Running"
"Dell SupportAssist Remediation","""C:\Program Files\Dell\SARemediation\agent\DellSupportAssistRemedationService.exe""","Running"
"Dell.CommandPowerManager.Service","C:\WINDOWS\system32\dllhost.exe /Processid:{5D7E8E77-5712-48D5-8B0C-25C0BDECC88F}","Stopped"
"DellClientManagementService","""C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe""","Running"
"DeviceAssociationService","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Running"
